id,y,feature_1646,feature_3311,feature_823,feature_2622,feature_2571,feature_1790,feature_3254,feature_1044,feature_1618,feature_988,feature_527,feature_654,feature_1074,feature_1275,feature_110,feature_1627,feature_3206,feature_2105,feature_1837,feature_2019,feature_1544,feature_1613,feature_1629,feature_616,feature_1574,feature_3248,feature_1715,feature_1639,feature_792,feature_2758,feature_1538,feature_1572,feature_632,feature_1464,feature_1898,feature_1029,feature_1471,feature_720,feature_257,feature_1682,feature_1683,feature_1638,feature_1674,feature_1175,feature_3788,feature_244,feature_1232,feature_3806,feature_1995,feature_1577,feature_613,feature_2099,feature_3750,feature_3801,feature_2644,feature_1375,feature_2133,feature_666,feature_750,feature_317,feature_1615
8,1,0.008882475,-0.09702306,0.07495655,-0.71607614,0.020607486,0.002691152,0.02359506,0.120866075,0.106890306,0.5067787,0.085699566,-0.021941613,-0.07690599,-0.011537166,0.10193773,-0.034970075,-0.00125936,-0.30447114,-0.018714717,0.05073837,-0.09099683,0.02278737,-0.063412145,-0.094168805,-0.005866901,0.04056068,0.062133964,0.07824076,0.10238314,0.008916164,0.06062624,-0.00295207,-0.26345155,0.26081273,0.14341612,0.071472965,0.009165605,0.042169273,0.48469436,0.07119105,0.002198722,-0.007505305,0.024285814,0.18260255,-0.03365312,-0.40549114,0.056085985,-0.016477419,-0.11742655,-0.019924639,0.21062216,-0.000860467,-0.061038822,0.031541463,-0.05860461,0.35831976,0.1545453,0.15428221,0.015233141,0.24034226,-0.08514418
406,0,-0.068700954,-0.043727554,-0.14360285,-0.77921915,-0.046931382,0.030116221,0.13475822,0.14884652,0.05176523,0.43950537,0.14909817,-0.19482158,-0.015734661,0.038303114,0.1981794,-0.014726913,-0.060332723,-0.33799112,0.0677926,-0.11520023,-0.05084527,0.12263354,-0.10205834,-0.18957016,-0.09843307,-0.04140769,0.018825682,0.18842788,0.2522266,0.064923994,0.057933997,-0.008502177,0.022948485,0.25739148,0.19459553,0.07024178,-0.013462494,0.15641293,0.31580546,0.11347792,0.06409544,0.022023033,-0.017161785,0.01571433,-0.05476162,-0.091628335,0.096051395,0.00438058,0.032906886,-0.014103242,0.048348527,0.05180493,-0.059615433,-0.002242165,-0.038818043,0.27907604,0.08724937,0.039757185,0.015840808,0.16048314,-0.0627904
874,1,0.01181369,0.007644269,-0.16093457,-0.537822,0.020482875,0.08536292,0.020646857,-0.03723177,0.004092182,0.41530594,-0.012348228,-0.028531818,0.12136508,-0.026708407,0.21700446,-0.039011985,-0.03647163,0.11994142,0.04939058,-0.22092281,-0.010799334,0.002085839,-0.059539348,0.10487441,0.05495797,0.020770308,0.03521942,0.20458832,0.48381364,-0.01907381,0.1698885,0.053134788,-0.08998259,-0.08652184,0.15340921,0.21156716,0.16254102,0.17150848,0.471577,0.10425924,-0.000239951,-0.07171526,0.13517594,0.020819196,-0.000603303,0.37450454,0.110913135,-0.009920732,0.3547057,0.00077163,0.103111796,0.074540906,0.03274925,0.015595085,-0.02583248,0.0700905,0.18524331,0.085610315,0.1821854,0.21047656,0.092001766
2422,0,0.030542234,-0.14917092,0.013517497,-0.7761164,-0.049633965,-0.03611686,-0.031460334,0.015592165,0.103828914,0.45251736,-0.15141217,-0.2729598,-0.09101768,0.056647517,0.14645405,-0.002656122,-0.07294939,-0.27490103,0.08438201,0.015116476,-0.09046037,0.0538669,0.01261926,-0.2525228,0.05106194,0.028320171,0.004742432,0.108891256,0.16094987,-0.019148763,0.008931564,0.022804841,-0.23489518,0.3297968,0.22252443,0.09978778,-0.0212188,0.23543525,0.33042482,0.07831621,0.02089489,0.036056466,0.046354957,0.040875707,0.0065007,-0.3542883,0.08391735,-0.020181661,0.095428385,-0.000317764,0.070588924,-0.0363177,-0.053857632,0.019070996,-0.015091991,0.3584116,0.03354699,0.054236688,0.16595002,0.48666498,-0.039050017
315,1,-0.020118855,-0.120764926,0.08778577,-0.73032725,0.06291944,0.019412814,-0.004004885,0.10747672,0.070376016,0.3221696,-0.055851944,-0.3529818,-0.13270526,0.06899761,0.2359411,0.01218955,-0.039673172,-0.31117073,0.14159216,-0.057122707,0.028983764,0.03455976,-0.075721726,-0.1010146,-0.02825715,0.07225346,-0.043270312,0.03341022,0.073917195,-0.010328464,0.032215867,-0.008290445,-0.18737444,0.39816508,0.17949015,0.16666368,0.031702023,0.08119087,0.28148273,0.04218334,0.04071155,0.06430111,0.036039535,0.08836018,-0.033006974,-0.1343758,0.02465381,-0.06256616,0.18447894,0.018541448,-0.002694561,-0.07093624,-0.04897204,0.028396426,0.011407665,0.47942588,-0.013361741,0.17654578,-0.07434427,0.16556318,-0.019158661
102,0,0.03142195,0.16593136,-0.15618229,-0.5833788,0.0638227,0.011447132,0.066822015,-0.24377531,0.022760468,0.58731043,0.14922562,-0.5001421,0.1923952,0.07342102,0.30169332,-0.06496435,0.076302156,0.207508,0.113519944,-0.17849801,-0.084648535,0.18188289,-0.025422761,0.23673528,-0.083441265,-0.09753733,-0.029648833,-0.05538362,0.61198324,-0.07288078,0.092775725,0.19036818,-0.107481316,-0.029332256,0.33761677,0.09901638,0.120254114,0.1250358,0.22487152,0.084532574,-0.001906338,0.24907449,0.000398144,0.17987484,0.035769846,0.44014254,-0.10192092,-0.01740394,0.6391217,-0.08457512,0.13953692,0.1971201,-0.07035954,0.05067741,-0.10520071,-0.003442165,0.26280215,0.025754869,0.04055505,0.41759354,0.04711078
1334,4,-0.24093898,0.08210644,-0.0203681,-0.51378226,0.130496,0.08284908,-0.058331124,0.006564449,-0.034882642,0.4276142,-0.07036072,-0.22572124,0.2921176,-0.06344969,-0.020502368,-0.013448913,-0.043841563,-0.095071375,0.21317326,-0.328528,-0.034199774,-0.021488829,-0.076007485,0.03467416,-0.019694785,-0.07451759,-0.08305677,0.14448968,0.52285916,0.000311911,0.14600016,0.1793634,-0.26451772,-0.0100204,0.11170106,0.52058834,0.38619533,0.2194962,0.21150821,0.051418368,0.000184179,0.013973861,0.064837486,-0.198981,-0.013548461,0.48402908,0.19304574,-0.005128684,-0.023853017,0.025133638,-0.04822278,-0.09939149,0.031018255,-0.002176449,-0.048871744,0.022582797,0.28135052,0.10484241,0.098740846,0.28867733,-0.04783275
566,1,-0.24384272,-0.003697315,-0.18010186,-0.5910472,0.025779514,0.05217056,-0.01855445,-0.06397087,-0.003508959,0.26867792,0.070560634,-0.1396207,0.094312854,-0.017352644,0.2733968,-0.0248757,-0.017944861,-0.09269016,0.18722473,-0.23422688,-0.05510594,0.07895101,-0.048629783,0.1585256,-0.034553953,-0.06612516,-0.04813305,0.08951985,0.43705443,-0.038966607,0.09649198,0.083791025,-0.17340575,-0.0918891,0.23270918,0.27921292,0.081776954,0.1610993,0.3776295,-0.018213639,0.008015861,-0.00883418,0.102738574,0.0520031,-0.04298666,0.09503715,0.025415396,-0.044528406,0.32883695,0.005657431,0.06826581,-0.082110986,-0.03805475,0.009429204,-0.016189681,0.0820063,0.18516865,0.13448162,0.16707726,0.0561834,-0.005581846
50,4,-0.1463619,0.15485102,-0.03341489,-0.4226354,0.13571657,0.12676683,-0.066343874,-0.082807444,-0.03216277,0.38652804,0.057244223,-0.005597551,0.18004288,-0.13239554,0.10431859,-0.06991898,0.010238774,0.1413728,0.090150245,-0.36443883,-0.07471049,-0.011846828,-0.096426055,0.09000988,-0.061753847,-0.00330682,0.055256817,0.23787612,0.57589334,-0.060434762,0.17924784,0.16138746,-0.09409286,-0.17734429,0.14199004,0.47613993,0.26669362,0.2722517,0.3975249,0.00971375,-0.022780718,0.008794134,0.08126291,-0.000560608,-0.061492726,0.5316092,0.16279267,-0.03874618,0.11281634,-0.076218985,0.09642109,-0.028713683,0.013420816,0.080634736,-0.03430937,-0.17141828,0.27146474,0.15343317,0.095019676,0.21412493,-0.026890442
902,4,-0.27387115,-0.007477431,-0.27968475,-0.556901,0.08527199,-0.07937646,-0.11519268,0.14016262,-0.1143217,0.36044562,0.05124696,0.17773166,0.17249532,-0.23425588,0.07425214,0.104985245,0.045249872,-0.39287642,0.17460239,-0.19792247,-0.37380695,-0.10505877,-0.21872418,0.045407325,0.098777905,-0.010085437,-0.019588022,-0.05210254,0.23224619,-0.036401447,0.09430956,0.14378189,-0.05347928,0.14884225,0.29249844,0.34705174,0.24586256,0.20179577,0.18750061,0.10448754,0.11555897,-0.13885662,0.031256754,0.15255824,-0.055445347,0.08356383,0.14408465,0.023721578,0.2937641,0.030676581,0.07428269,-0.04164435,-0.081622995,0.038882803,0.010689116,-0.10320484,0.107112415,-0.05985803,0.114845164,0.3167655,-0.021036081
