f,weight,gain,cover,total_gain,total_cover
feature_1646,6,155.430191,509.3863525,932.5811157,3056.318115
feature_3311,3,123.3156662,374.7794189,369.946991,1124.338257
feature_823,1,212.9634399,199.0625,212.9634399,199.0625
feature_2622,2,95.67292023,294.9753723,191.3458405,589.9507446
feature_2571,6,25.80690002,400.5871887,154.8414001,2403.523193
feature_1790,6,24.41203499,411.7249451,146.4722137,2470.349609
feature_3254,3,43.60409164,245.3992462,130.8122711,736.1977539
feature_1044,4,30.68042374,356.2937012,122.7216949,1425.174805
feature_1618,4,29.16131973,319.7047119,116.6452789,1278.818848
feature_988,4,26.45559311,143.1343384,105.8223724,572.5373535
feature_527,2,52.67504501,140.7308044,105.35009,281.4616089
feature_654,5,20.87513351,266.4155273,104.3756638,1332.077637
feature_1074,2,46.9272995,665.1108398,93.854599,1330.22168
feature_1275,3,30.18818665,324.4333496,90.56455994,973.3000488
feature_110,4,22.57635307,444.2579346,90.30541229,1777.031738
feature_1627,2,41.84867477,220.3576202,83.69734955,440.7152405
feature_3206,3,24.19091225,409.6656189,72.57273865,1228.996826
feature_2105,3,22.67960548,430.0414124,68.03881836,1290.124268
feature_1837,4,16.65826225,304.6401978,66.63304901,1218.560791
feature_2019,6,10.82242203,302.6509705,64.93453217,1815.905884
feature_1544,6,10.77367496,279.9588013,64.6420517,1679.752808
feature_1613,3,21.18257713,336.3124695,63.54772949,1008.937378
feature_1629,3,19.92050362,135.327652,59.76150894,405.9829712
feature_616,2,29.52421951,74.61821747,59.04843903,149.2364349
feature_1574,8,7.224948883,319.036438,57.79959106,2552.291504
feature_3248,1,57.18923569,515.3491211,57.18923569,515.3491211
feature_1715,3,18.40226555,99.16840363,55.20679474,297.5052185
feature_1639,2,27.35315895,138.3476257,54.7063179,276.6952515
feature_792,2,26.2622261,505.760437,52.52445221,1011.520874
feature_2758,3,16.31944847,338.5657043,48.95834732,1015.697083
feature_1538,6,7.436378479,215.6968842,44.61827087,1294.181274
feature_1572,5,8.634809494,155.1136475,43.17404556,775.5682373
feature_632,5,8.453745842,303.4401245,42.26873016,1517.200684
feature_1464,6,7.024775982,300.0412292,42.14865494,1800.247314
feature_1898,1,42.09924316,285.7888794,42.09924316,285.7888794
feature_1029,3,13.84602642,250.9762573,41.53807831,752.928772
feature_1471,3,13.59581757,459.683197,40.7874527,1379.049561
feature_720,3,11.90584564,367.65271,35.71753693,1102.95813
feature_257,2,17.52510643,327.1860046,35.05021286,654.3720093
feature_1682,3,11.6723938,390.2687988,35.0171814,1170.806396
feature_1683,2,17.46628761,210.8936615,34.93257523,421.787323
feature_1638,2,16.98064423,474.8598938,33.96128845,949.7197876
feature_1674,3,11.25856113,212.5136719,33.77568436,637.5410156
feature_1175,6,5.586311817,282.6134338,33.51787186,1695.680664
feature_3788,4,8.264533997,246.7760315,33.05813599,987.104126
feature_244,2,16.39881897,20.10578156,32.79763794,40.21156311
feature_1232,1,32.68188095,75.81710815,32.68188095,75.81710815
feature_3806,5,6.518937111,206.3161926,32.5946846,1031.580933
feature_1995,1,32.51277924,40.01077652,32.51277924,40.01077652
feature_1577,3,10.59241962,98.09963989,31.77725792,294.2989197
feature_613,4,7.899013996,280.0607605,31.59605598,1120.243042
feature_2099,5,6.318108559,329.0079346,31.59054184,1645.039673
feature_3750,3,10.46107388,510.1094666,31.38322258,1530.328369
feature_3801,4,7.779810429,618.072998,31.11924171,2472.291992
feature_2644,6,5.164057732,117.9101868,30.98434639,707.4611206
feature_1375,2,15.48808193,384.2431335,30.97616386,768.4862671
feature_2133,2,15.33138847,88.08731079,30.66277695,176.1746216
feature_666,4,7.665466785,298.5136108,30.66186714,1194.054443
feature_750,1,30.4737854,307.1954956,30.4737854,307.1954956
feature_317,3,10.08192158,170.3653717,30.24576378,511.0961304
feature_1615,3,10.07283306,198.4214478,30.21849823,595.2643433
