filename,label,feature_1646,feature_3311,feature_823,feature_2622,feature_2571,feature_1790,feature_3254,feature_1044,feature_1618,feature_988,feature_527,feature_654,feature_1074,feature_1275,feature_110,feature_1627,feature_3206,feature_2105,feature_1837,feature_2019,feature_1544,feature_1613,feature_1629,feature_616,feature_1574,feature_3248,feature_1715,feature_1639,feature_792,feature_2758,feature_1538,feature_1572,feature_632,feature_1464,feature_1898,feature_1029,feature_1471,feature_720,feature_257,feature_1682,feature_1683,feature_1638,feature_1674,feature_1175,feature_3788,feature_244,feature_1232,feature_3806,feature_1995,feature_1577,feature_613,feature_2099,feature_3750,feature_3801,feature_2644,feature_1375,feature_2133,feature_666,feature_750,feature_317,feature_1615
1,2,-0.17899947,-0.149901,-0.069278084,-0.03612741,0.075630605,0.04293594,-0.078609824,0.080442294,-0.035312742,0.32588035,-0.012941225,0.06675595,0.20725904,-0.08822078,0.27248704,-0.07809796,-0.11015118,-0.024270909,0.29344183,-0.2223118,-0.09799589,-0.062629886,-0.11181177,-0.027699359,0.08787896,0.18541941,0.028321847,-0.047424182,0.19813615,0.028844804,0.082937464,-0.007002376,-0.2759002,0.25446633,0.022108356,0.22299945,0.01804392,0.03953039,0.080757774,-0.003423815,-0.06565097,-0.008151513,-0.008571724,0.027831543,0.02193612,-0.35246903,0.03814198,-0.077859305,0.060292438,-0.0981969,-0.036082,0.025704326,-0.15889536,-0.07382463,-0.061284143,0.38466364,0.1253524,-0.095499136,0.14100985,0.41820183,0.005614053
2,1,-0.05213942,-0.0829192,-0.015206038,0.039927065,0.07925837,-0.027512936,-0.07849929,0.09838056,-0.09556786,0.4916458,-0.024651943,0.09275103,0.22606663,-0.10627884,0.09651677,-0.004545463,-0.0704684,0.22371762,0.2338495,-0.22336312,-0.11400838,-0.14148742,-0.12739924,0.0935299,0.14718336,0.15179415,0.030569153,0.07463111,0.20446613,0.035560265,0.116307534,0.008418199,-0.21110289,0.1389112,0.09450175,0.026878828,0.14683582,0.031448647,0.099866875,0.05898498,0.0262807,0.10600895,0.05167275,-0.25308225,-0.0452256,-0.23925202,0.06325581,-0.0697859,0.04872191,-0.045981932,0.033306736,-0.03041749,-0.114805,-0.06028656,-0.048303302,0.34334192,0.20672628,-0.06532151,0.15923809,0.46982118,-0.00397679
3,1,-0.07419855,-0.072595194,-0.080679744,-0.16693078,0.13347642,0.03019237,-0.09087401,0.16175193,0.011754939,0.5326937,-0.14263605,0.07262427,0.23854358,-0.09632659,0.039888706,0.007268102,-0.053743776,-0.008307449,0.24390796,-0.17795366,-0.13473521,-0.1329176,-0.12293309,0.046916716,0.10889855,0.08778781,-0.025682677,-0.02847003,0.2442955,0.000450112,0.036878064,0.020259878,-0.31471106,0.3223495,0.12588023,0.19474679,0.11116228,0.23323871,0.11190591,0.04321914,-0.053351108,0.051025007,0.090060316,-0.119466156,-0.021020437,-0.028583907,-0.1025155,-0.023060944,0.09208955,-0.08432735,-0.011501179,0.016557295,-0.050421625,-0.009847915,-0.082536265,0.29212385,0.13138734,-0.21002099,0.24862269,0.46028054,0.11332061
4,0,-0.022998732,0.027872859,-0.124526165,-0.57193047,0.035684064,-0.053904634,-0.1201877,0.07819378,0.073956035,0.48214072,0.03429938,-0.22478156,-0.01569262,0.08619027,0.115751565,-0.025857678,-0.08125888,0.042676426,0.08810138,-0.15121596,0.036533516,0.002492806,-0.046440326,0.033510864,0.04557121,0.018993462,-0.021848442,0.07051535,0.07429557,-0.031166084,-0.004373967,0.021806603,-0.09118721,0.36197853,0.22660539,0.18732813,0.11332008,-0.00459886,0.30299404,0.07495919,0.003199319,0.055962928,0.13513206,0.16364892,0.03982832,0.11168135,0.028397895,0.04075236,0.36021549,-0.013060406,0.10934064,0.05533977,-0.04041214,0.056665167,-0.095155515,0.23086204,0.06833144,0.069625616,-0.026140027,0.23313236,0.095350936
5,1,-0.026703311,0.01713524,-0.2537738,-0.6493079,-0.047426615,0.0919196,0.11831917,-0.12954709,0.12275304,0.3302586,-0.070245385,-0.37254256,-0.039669033,0.124024376,0.044501588,-0.01730669,0.014378153,-0.13957949,0.010836188,-0.23497647,-0.07191087,0.13603911,-0.070016064,0.08418911,-0.106623106,0.1302292,0.0568754,0.18536344,0.61091644,-0.05428551,0.102053724,0.05394206,-0.08051722,0.12887464,0.33409655,0.4233613,-0.09993688,0.13649093,0.45139608,0.12349992,-0.004933691,0.12542138,-0.02548491,-0.106942505,-0.035374857,0.31253633,0.19143559,0.049289256,0.040722575,-0.16475962,0.05597168,0.03591896,0.0664562,-0.045576986,-0.043605108,-0.08125297,0.1066861,0.23716864,0.16398677,0.15060718,0.005783519
6,1,-0.26492268,-0.13395159,-0.1457769,-0.05653107,0.13853948,-0.020268163,-0.13511965,0.16066028,0.08360796,0.52570194,0.009761656,-0.07121627,0.24578114,-0.06955975,0.20249237,0.027378347,-0.07164562,0.11415808,0.38330948,-0.27605987,-0.14824466,0.003700202,-0.11173282,0.00185834,0.043524466,0.07945796,-0.008401421,-0.123811916,0.17896092,-0.01617422,0.030085176,0.04010992,-0.21785158,-0.04445124,0.13001639,0.20886332,0.024638504,0.0889436,0.024640353,0.017997222,-0.124141484,0.09020051,0.06382062,0.00768517,-0.19715333,-0.37117267,-0.027615404,-0.05930623,0.3860736,-0.04614694,-0.012286652,-0.045333844,-0.06533198,-0.06288635,-0.09244095,0.21468945,0.21645501,-0.058634866,0.19865552,0.34804562,0.1538781
7,1,-0.078654304,-0.048611753,-0.002889025,-0.44498992,0.03609287,-0.07373956,0.034919105,0.10279597,-0.028227706,0.4705572,-0.023031102,-0.011160083,0.16409546,-0.036384143,-0.08324077,0.008531247,-0.059297964,-0.08046141,0.12677687,-0.09297715,0.009232337,0.027724965,-0.021303615,-0.12746443,0.044087365,0.047104195,-0.09705247,0.18851036,0.28605634,0.03484758,0.05494371,0.036130805,-0.17032787,0.2720308,0.07569776,0.07684261,0.13720788,-0.007136067,0.29826957,0.13388038,0.054480255,-0.022708667,0.103108145,-0.12934898,0.009539084,0.11023832,0.1383947,-0.055087853,-0.11318364,0.0275514,0.15930006,0.07393466,-0.04412729,0.04614757,-0.017823134,0.24199493,0.195674,0.008920365,0.2174689,0.3871465,0.010422722
8,7,0.014696921,-0.05082337,0.06217098,-0.6996792,0.03134023,0.069980115,0.052949466,0.07399511,0.10235024,0.21353324,0.06649619,0.112766966,-0.044914845,0.035133194,0.02779785,-0.01609225,-0.009969308,-0.1917176,0.003646666,0.16727631,-0.084844515,0.099049285,-0.11738226,0.043829713,0.03984768,-0.016906556,-0.07175711,0.07778651,0.46913207,-0.039433163,0.079219796,-0.052469466,-0.34557804,0.37611356,0.20906219,-0.013791516,0.09780434,0.2510505,0.44914314,0.06341992,0.068213016,-0.020028621,0.1340815,0.11529231,-0.082645334,-0.05029678,0.05538828,0.02515184,-0.20973226,-0.083723344,0.28024557,-0.06264896,-0.060861435,0.06490488,-0.031762186,0.14224204,0.08025536,0.3292913,0.18834583,0.29926014,-0.10994138
9,5,0.07591199,-0.02468693,-0.2808461,-0.6249947,0.04113675,-0.003477753,-0.08898711,-0.054725032,0.064697534,0.4897397,0.05493322,-0.43443665,0.04881472,0.20348704,0.1224349,0.018317105,0.023306616,0.11541234,-0.07400546,-0.004650739,0.06786597,0.057096742,-0.11472609,0.042616747,0.015626447,-0.073295824,-0.04562056,0.015160937,0.11531721,-0.027448034,-0.041560475,-0.006724061,-0.13210702,0.38205802,0.30791232,0.09549896,0.06881376,-0.071952075,0.31502432,0.04322007,-0.09060299,0.043464147,0.14811786,0.04747669,0.01950797,0.19173872,-0.10430799,0.012621139,0.35942847,0.001644833,0.067944795,0.12628753,-0.098595515,0.033493135,-0.03038271,0.27587277,-0.021024546,-0.102371246,-0.031167986,0.2074058,0.118274786
10,3,-0.05144367,0.015084345,-0.16424876,-0.7634207,0.057279717,0.02776163,0.06169268,0.052744173,0.09275294,0.20241578,-0.05347384,0.05211985,-0.03783396,0.00961946,0.23331307,0.08942737,0.012904708,-0.31411493,0.011430506,0.05233752,-0.06361871,0.10596631,-0.07296773,-0.034391306,0.098241165,-0.110539034,-0.023817828,0.06726276,0.29151845,-0.06351957,0.090351105,-0.11449967,-0.24707885,0.3372604,0.21599773,0.13107736,0.028865969,0.059835374,0.4307098,0.02622823,0.058138806,0.002503406,0.13779108,0.111527726,-0.016918577,-0.13544902,0.044736408,0.010695148,0.16799648,-0.025925588,0.09636294,-0.11405728,-0.048249256,0.06931835,-0.05159537,0.3112154,0.044066597,0.31373528,0.176028,0.10513441,0.007044664
