,label,feature_1646,feature_3311,feature_823,feature_2622,feature_2571,feature_1790,feature_3254,feature_1044,feature_1618,feature_988,feature_527,feature_654,feature_1074,feature_1275,feature_110,feature_1627,feature_3206,feature_2105,feature_1837,feature_2019,feature_1544,feature_1613,feature_1629,feature_616,feature_1574,feature_3248,feature_1715,feature_1639,feature_792,feature_2758,feature_1538,feature_1572,feature_632,feature_1464,feature_1898,feature_1029,feature_1471,feature_720,feature_257,feature_1682,feature_1683,feature_1638,feature_1674,feature_1175,feature_3788,feature_244,feature_1232,feature_3806,feature_1995,feature_1577,feature_613,feature_2099,feature_3750,feature_3801,feature_2644,feature_1375,feature_2133,feature_666,feature_750,feature_317,feature_1615
1556,4,-0.07775016,-0.27568275,0.108039536,-0.6054294,0.04864714,-0.008053961,-0.061222497,0.10299196,0.07077013,0.34607795,-0.003990666,-0.1502597,-0.009672227,0.034665037,0.119610265,-0.001274279,-0.022378543,-0.31751415,0.019324977,-0.03550779,-0.010105964,0.009950839,-0.015039132,-0.002371364,0.006789432,0.1469589,0.01544466,-0.014237005,-0.17978022,0.00142883,-0.016568363,-0.006921927,-0.2543843,0.47240397,0.1928257,0.18523122,0.096577436,0.10201155,0.22675438,0.006333428,0.022110896,0.004507646,-0.034648232,0.10622313,-0.003938363,-0.27311403,-0.084410004,0.001065803,-0.12160824,0.04551561,0.298607,-0.10778486,-0.11101932,0.05100729,0.01742642,0.39836532,-0.07045887,0.009948393,-0.14635794,0.39584365,0.045911696
2106,3,0.026604595,0.32420605,-0.02152816,-0.57796925,0.004074936,0.037845917,0.086754076,-0.17295152,0.090108335,0.42369452,0.059167393,-0.1873655,0.094850704,0.15252888,0.18275125,-0.1195867,0.036069516,0.06738274,0.08796753,-0.15422654,0.000567157,0.12388424,-0.002330891,0.07646476,-0.051835414,-0.20587796,-0.05127129,-0.061913036,0.44373032,-0.118478514,0.15327018,0.10217156,-0.18820776,0.12877855,0.2655707,0.16607668,0.05073384,0.13993403,0.3394343,0.06762825,-0.025607403,0.18626344,0.09048411,0.10925071,0.0459991,0.19427264,0.069164015,0.015811544,0.49902466,-0.08165008,0.024013935,0.12944733,0.08400019,-0.018978847,-0.058606964,0.054841984,0.21277253,0.121861905,-0.006934558,0.28251305,0.025899915
141,0,-0.027260466,-0.025359167,0.027316554,-0.42519733,0.01835227,-0.029280478,0.004401918,-0.082846195,0.14046815,0.47752786,0.10357103,0.15921313,-0.025531994,-0.13089871,0.15679741,-0.07764579,-0.00132838,0.011074909,0.12687619,-0.12549472,0.02406247,0.0684432,-0.057010844,0.08520049,0.027929038,-0.019747054,0.019279562,0.16155319,0.5144286,-0.003146579,0.13328762,0.13931243,-0.062079962,-0.15432118,0.10902877,0.280553,0.10908793,0.071892865,0.4644967,0.048158906,0.057333536,-0.053921994,0.09644111,0.14953591,-0.064759746,0.15545936,0.122745894,-0.072876185,0.18721569,-0.053666387,0.045465004,-0.11301327,-0.02271335,0.06256893,-0.020150952,0.14653133,0.26479974,0.17682523,0.070153534,0.26740214,0.057214845
107,3,-0.053213805,0.108838476,-0.14642437,-0.09296035,0.11963811,0.04320992,-0.028549705,-0.22940412,0.068607934,0.31754082,0.14201298,-0.10880244,0.17955264,0.12619738,0.25516686,-0.017966485,0.056691702,0.32813394,0.006746267,-0.15958875,-0.11362846,0.18500882,-0.064518355,0.15329084,0.045716356,-0.081974715,-0.06954097,0.06944136,0.38889652,-0.08377167,0.13521029,0.06647207,-0.085198924,-0.14931192,0.27049485,-0.068969876,0.014687589,0.18176202,0.32806024,0.13194177,0.046537112,0.037152585,0.20999528,-0.027118502,-0.061723303,0.19239427,0.028549826,-0.08557215,0.4593908,-0.09024049,0.15008909,0.018233143,-0.026339162,0.003773447,-0.014073292,-0.12937324,0.26355284,0.17045793,0.21315362,-0.00294075,0.00265487
768,1,0.008146385,-0.035302427,-0.30872747,-0.7514155,0.07175595,0.028964203,0.06439037,0.08629705,0.032985568,0.3039885,-0.041509762,-0.3663799,0.0592671,-0.002772551,0.06332203,0.042486068,0.000134898,-0.36414462,0.048264053,-0.08049486,-0.035902012,0.062596396,-0.050601367,0.03387721,0.092931435,0.006236722,0.022645766,0.12191654,0.4113877,0.048508454,0.011815834,0.015124682,-0.19007441,0.26598844,0.2510569,0.12745492,0.09336184,0.08514008,0.3022336,0.08510162,0.026920414,-0.029544862,0.018219493,-0.103173465,0.006952925,0.15177058,0.11426923,-0.012743353,-0.05578758,-0.037517294,0.061918017,-0.051465042,-0.04362577,-0.003734219,0.001662731,0.2173317,0.050231796,0.13935995,0.21134408,0.08202434,-0.003972766
1167,1,0.019736407,0.06426548,-0.0592999,-0.4760412,-0.03329839,0.05622286,0.001951764,-0.01361072,0.055117346,0.46494925,0.021711163,-0.116719626,0.11722782,-0.033682626,0.10548422,-0.016063876,-0.010924639,0.028941508,0.20581207,-0.3106259,-0.015422401,0.018170068,-0.10106675,0.0654849,0.05807601,0.015152268,0.06496967,0.18115938,0.5148404,-0.11564765,0.13284582,0.08383289,-0.024882296,-0.13127723,0.1087625,0.30805486,0.09434495,0.1447248,0.45054722,0.13320155,-0.010925737,-0.078109354,0.13923629,-0.14113863,0.022146763,0.32807207,0.2105865,-0.028548935,0.29069608,-0.03564894,0.12001819,-0.002960244,0.08018029,0.027051166,0.002625643,0.13355944,0.20960279,0.1528519,0.18602471,0.25559556,0.03423278
1496,4,-0.13916396,-0.092959486,-0.13272586,-0.70725524,0.054688193,0.004681519,0.04949608,0.1809356,0.043419722,0.42667457,0.12872186,-0.053377543,-0.1196053,0.015908163,0.17528056,-0.025033483,-0.08049327,-0.3261877,0.14274362,-0.12752943,-0.081982456,0.01583942,0.001943045,0.006785029,-0.037769865,0.0402675,-0.087896876,0.14529696,0.3478887,-0.072285935,0.00335342,0.004528942,-0.10789099,0.30395734,0.19917363,0.19189262,0.1004846,-0.039407283,0.36225188,0.054177288,0.030785235,0.067066684,0.08650637,0.008289515,-0.003986453,0.029920062,0.029590355,-0.0579984,0.058673326,0.09567623,0.007954622,-0.08620628,-0.054342624,0.042914584,0.030682398,0.17648838,0.060201094,0.05136478,0.1943204,0.2942401,0.030164992
29,3,0.17766558,-0.08768325,0.011661183,-0.78564703,0.03789147,0.009866884,0.03260853,0.047217194,0.045626078,0.38307083,-0.18225387,-0.26667178,-0.024158506,0.058816347,0.084768526,-0.002199661,-0.08069703,-0.42532519,-0.03947287,0.018408796,0.064667374,0.066979945,0.043480713,-0.019639945,0.11501596,0.046200544,-0.029459992,-0.000439234,0.18747106,0.024080863,0.02192524,0.07065705,-0.2685896,0.47189963,0.13730823,-0.07620468,0.10054869,-0.08040218,0.38477084,0.14166923,0.100844614,0.033419672,0.13386787,-0.03280107,-0.012561455,-0.1111718,0.12824598,0.003735874,-0.04196192,-0.023207953,0.16296744,-0.06248146,-0.006792014,0.057809513,-0.035669368,0.44422522,-0.000883639,0.14579614,0.092354685,0.40495002,-0.046333387
899,1,-0.07320924,0.013105054,-0.13229808,-0.7067834,0.048839346,-0.045948535,0.029739372,0.058577165,0.15389511,0.53466874,0.10533535,-0.49813882,0.00745819,0.09289797,0.10620702,0.02282011,-0.02661229,-0.019475827,0.059210237,-0.03608742,-0.030242821,0.04480064,-0.05101595,-0.02321523,-0.060957342,-0.08571097,0.026737675,-0.013053453,0.29971287,-0.046307735,-0.010127255,0.058026515,-0.3290847,0.38264173,0.35445574,0.14449249,0.054113835,-0.010877172,0.3354225,-0.003501078,-0.066415064,0.10128821,0.06981144,0.14091894,-0.063961744,0.38340282,0.08447302,0.023717685,0.5172243,0.010198813,0.034411967,-0.05565238,-0.06108613,0.09740472,-0.019997403,0.30339256,0.070009604,0.060842317,-0.052276563,0.38585088,0.005685585
1893,3,0.055070244,-0.20618403,0.11793645,-0.6778982,-0.021333512,-0.014238166,0.001448176,0.12968403,0.10475561,0.47888786,-0.05965116,-0.09504985,-0.08262928,0.013233556,0.09480951,0.004809141,-0.11926753,-0.32661754,0.010293097,0.11699607,0.04858353,-0.018142488,0.04858518,-0.12319174,0.055391777,0.13770331,0.01149653,-0.01766864,0.060626566,-0.005695504,0.03743818,0.06912763,-0.28404886,0.49673748,0.1325703,0.12275492,0.03482456,0.011769388,0.3044342,0.077485316,0.028458128,0.037302073,0.096104175,0.06871586,-0.08735348,-0.29469344,0.17226523,-0.001756594,-0.10812087,-0.029121712,0.14837371,0.030381143,-0.09009989,0.023927996,-0.024807295,0.3840411,-0.037926156,0.05345176,0.07295009,0.47072318,-0.089337744
