Precision Recall_train	
 	,class	,"precision, recall"	
iteration_0_Precision	,0,0.428571
iteration_0_Precision	,1,0.549451
iteration_0_Precision	,2,0.75
iteration_0_Precision	,3,0.682353
iteration_0_Precision	,4,0.736301
iteration_0_Precision	,5,0.823529
iteration_0_Precision	,6,1
iteration_0_Precision	,7,1
iteration_0_Recall	,0,0.138462
iteration_0_Recall	,1,0.857143
iteration_0_Recall	,2,0.253521
iteration_0_Recall	,3,0.456693
iteration_0_Recall	,4,0.808271
iteration_0_Recall	,5,0.212121
iteration_0_Recall	,6,0.045455
iteration_0_Recall	,7,0.296296
iteration_1_Precision	,0,0.6875
iteration_1_Precision	,1,0.572233
iteration_1_Precision	,2,0.76
iteration_1_Precision	,3,0.714286
iteration_1_Precision	,4,0.767918
iteration_1_Precision	,5,0.758621
iteration_1_Precision	,6,1
iteration_1_Precision	,7,0.916667
iteration_1_Recall	,0,0.169231
iteration_1_Recall	,1,0.871429
iteration_1_Recall	,2,0.267606
iteration_1_Recall	,3,0.472441
iteration_1_Recall	,4,0.845865
iteration_1_Recall	,5,0.333333
iteration_1_Recall	,6,0.090909
iteration_1_Recall	,7,0.407407
iteration_2_Precision	,0,0.642857
iteration_2_Precision	,1,0.586408
iteration_2_Precision	,2,0.833333
iteration_2_Precision	,3,0.69697
iteration_2_Precision	,4,0.772575
iteration_2_Precision	,5,0.793103
iteration_2_Precision	,6,1
iteration_2_Precision	,7,1
iteration_2_Recall	,0,0.138462
iteration_2_Recall	,1,0.862857
iteration_2_Recall	,2,0.28169
iteration_2_Recall	,3,0.543307
iteration_2_Recall	,4,0.868421
iteration_2_Recall	,5,0.348485
iteration_2_Recall	,6,0.136364
iteration_2_Recall	,7,0.407407
iteration_3_Precision	,0,0.611111
iteration_3_Precision	,1,0.605159
iteration_3_Precision	,2,0.84
iteration_3_Precision	,3,0.714286
iteration_3_Precision	,4,0.791946
iteration_3_Precision	,5,0.862069
iteration_3_Precision	,6,1
iteration_3_Precision	,7,1
iteration_3_Recall	,0,0.169231
iteration_3_Recall	,1,0.871429
iteration_3_Recall	,2,0.295775
iteration_3_Recall	,3,0.590551
iteration_3_Recall	,4,0.887218
iteration_3_Recall	,5,0.378788
iteration_3_Recall	,6,0.136364
iteration_3_Recall	,7,0.444444
iteration_4_Precision	,0,0.736842
iteration_4_Precision	,1,0.619919
iteration_4_Precision	,2,0.884615
iteration_4_Precision	,3,0.724771
iteration_4_Precision	,4,0.804054
iteration_4_Precision	,5,0.857143
iteration_4_Precision	,6,1
iteration_4_Precision	,7,1
iteration_4_Recall	,0,0.215385
iteration_4_Recall	,1,0.871429
iteration_4_Recall	,2,0.323944
iteration_4_Recall	,3,0.622047
iteration_4_Recall	,4,0.894737
iteration_4_Recall	,5,0.454545
iteration_4_Recall	,6,0.181818
iteration_4_Recall	,7,0.481481
iteration_5_Precision	,0,0.736842
iteration_5_Precision	,1,0.643154
iteration_5_Precision	,2,0.911765
iteration_5_Precision	,3,0.741071
iteration_5_Precision	,4,0.83391
iteration_5_Precision	,5,0.875
iteration_5_Precision	,6,1
iteration_5_Precision	,7,1
iteration_5_Recall	,0,0.215385
iteration_5_Recall	,1,0.885714
iteration_5_Recall	,2,0.43662
iteration_5_Recall	,3,0.653543
iteration_5_Recall	,4,0.906015
iteration_5_Recall	,5,0.530303
iteration_5_Recall	,6,0.227273
iteration_5_Recall	,7,0.481481
iteration_6_Precision	,0,0.818182
iteration_6_Precision	,1,0.670236
iteration_6_Precision	,2,0.916667
iteration_6_Precision	,3,0.747826
iteration_6_Precision	,4,0.842466
iteration_6_Precision	,5,0.883721
iteration_6_Precision	,6,1
iteration_6_Precision	,7,1
iteration_6_Recall	,0,0.276923
iteration_6_Recall	,1,0.894286
iteration_6_Recall	,2,0.464789
iteration_6_Recall	,3,0.677165
iteration_6_Recall	,4,0.924812
iteration_6_Recall	,5,0.575758
iteration_6_Recall	,6,0.272727
iteration_6_Recall	,7,0.481481
iteration_7_Precision	,0,0.863636
iteration_7_Precision	,1,0.67382
iteration_7_Precision	,2,0.918919
iteration_7_Precision	,3,0.763158
iteration_7_Precision	,4,0.855172
iteration_7_Precision	,5,0.863636
iteration_7_Precision	,6,1
iteration_7_Precision	,7,1
iteration_7_Recall	,0,0.292308
iteration_7_Recall	,1,0.897143
iteration_7_Recall	,2,0.478873
iteration_7_Recall	,3,0.685039
iteration_7_Recall	,4,0.932331
iteration_7_Recall	,5,0.575758
iteration_7_Recall	,6,0.318182
iteration_7_Recall	,7,0.518519
iteration_8_Precision	,0,0.8
iteration_8_Precision	,1,0.707589
iteration_8_Precision	,2,0.913043
iteration_8_Precision	,3,0.762712
iteration_8_Precision	,4,0.877193
iteration_8_Precision	,5,0.87234
iteration_8_Precision	,6,1
iteration_8_Precision	,7,1
iteration_8_Recall	,0,0.307692
iteration_8_Recall	,1,0.905714
iteration_8_Recall	,2,0.591549
iteration_8_Recall	,3,0.708661
iteration_8_Recall	,4,0.93985
iteration_8_Recall	,5,0.621212
iteration_8_Recall	,6,0.363636
iteration_8_Recall	,7,0.62963
iteration_9_Precision	,0,0.821429
iteration_9_Precision	,1,0.729545
iteration_9_Precision	,2,0.893617
iteration_9_Precision	,3,0.775
iteration_9_Precision	,4,0.886926
iteration_9_Precision	,5,0.897959
iteration_9_Precision	,6,0.9
iteration_9_Precision	,7,1
iteration_9_Recall	,0,0.353846
iteration_9_Recall	,1,0.917143
iteration_9_Recall	,2,0.591549
iteration_9_Recall	,3,0.732283
iteration_9_Recall	,4,0.943609
iteration_9_Recall	,5,0.666667
iteration_9_Recall	,6,0.409091
iteration_9_Recall	,7,0.62963
iteration_10_Precision	,0,0.88
iteration_10_Precision	,1,0.734554
iteration_10_Precision	,2,0.911111
iteration_10_Precision	,3,0.792
iteration_10_Precision	,4,0.886926
iteration_10_Precision	,5,0.88
iteration_10_Precision	,6,0.909091
iteration_10_Precision	,7,1
iteration_10_Recall	,0,0.338462
iteration_10_Recall	,1,0.917143
iteration_10_Recall	,2,0.577465
iteration_10_Recall	,3,0.779528
iteration_10_Recall	,4,0.943609
iteration_10_Recall	,5,0.666667
iteration_10_Recall	,6,0.454545
iteration_10_Recall	,7,0.666667
iteration_11_Precision	,0,0.83871
iteration_11_Precision	,1,0.757647
iteration_11_Precision	,2,0.916667
iteration_11_Precision	,3,0.785714
iteration_11_Precision	,4,0.893238
iteration_11_Precision	,5,0.88
iteration_11_Precision	,6,0.909091
iteration_11_Precision	,7,1
iteration_11_Recall	,0,0.4
iteration_11_Recall	,1,0.92
iteration_11_Recall	,2,0.619718
iteration_11_Recall	,3,0.779528
iteration_11_Recall	,4,0.943609
iteration_11_Recall	,5,0.666667
iteration_11_Recall	,6,0.454545
iteration_11_Recall	,7,0.814815
iteration_12_Precision	,0,0.8125
iteration_12_Precision	,1,0.76
iteration_12_Precision	,2,0.924528
iteration_12_Precision	,3,0.809917
iteration_12_Precision	,4,0.900356
iteration_12_Precision	,5,0.9
iteration_12_Precision	,6,1
iteration_12_Precision	,7,1
iteration_12_Recall	,0,0.4
iteration_12_Recall	,1,0.922857
iteration_12_Recall	,2,0.690141
iteration_12_Recall	,3,0.771654
iteration_12_Recall	,4,0.951128
iteration_12_Recall	,5,0.681818
iteration_12_Recall	,6,0.5
iteration_12_Recall	,7,0.777778
iteration_13_Precision	,0,0.888889
iteration_13_Precision	,1,0.782082
iteration_13_Precision	,2,0.944444
iteration_13_Precision	,3,0.819672
iteration_13_Precision	,4,0.900356
iteration_13_Precision	,5,0.921569
iteration_13_Precision	,6,1
iteration_13_Precision	,7,1
iteration_13_Recall	,0,0.492308
iteration_13_Recall	,1,0.922857
iteration_13_Recall	,2,0.71831
iteration_13_Recall	,3,0.787402
iteration_13_Recall	,4,0.951128
iteration_13_Recall	,5,0.712121
iteration_13_Recall	,6,0.681818
iteration_13_Recall	,7,0.814815
iteration_14_Precision	,0,0.911765
iteration_14_Precision	,1,0.801489
iteration_14_Precision	,2,0.929825
iteration_14_Precision	,3,0.841667
iteration_14_Precision	,4,0.900356
iteration_14_Precision	,5,0.894737
iteration_14_Precision	,6,0.944444
iteration_14_Precision	,7,1
iteration_14_Recall	,0,0.476923
iteration_14_Recall	,1,0.922857
iteration_14_Recall	,2,0.746479
iteration_14_Recall	,3,0.795276
iteration_14_Recall	,4,0.951128
iteration_14_Recall	,5,0.772727
iteration_14_Recall	,6,0.772727
iteration_14_Recall	,7,0.888889
iteration_15_Precision	,0,0.969697
iteration_15_Precision	,1,0.808354
iteration_15_Precision	,2,0.931034
iteration_15_Precision	,3,0.859504
iteration_15_Precision	,4,0.910072
iteration_15_Precision	,5,0.910714
iteration_15_Precision	,6,1
iteration_15_Precision	,7,1
iteration_15_Recall	,0,0.492308
iteration_15_Recall	,1,0.94
iteration_15_Recall	,2,0.760563
iteration_15_Recall	,3,0.818898
iteration_15_Recall	,4,0.951128
iteration_15_Recall	,5,0.772727
iteration_15_Recall	,6,0.772727
iteration_15_Recall	,7,0.888889
iteration_16_Precision	,0,0.947368
iteration_16_Precision	,1,0.819753
iteration_16_Precision	,2,0.951613
iteration_16_Precision	,3,0.889831
iteration_16_Precision	,4,0.92674
iteration_16_Precision	,5,0.944444
iteration_16_Precision	,6,1
iteration_16_Precision	,7,1
iteration_16_Recall	,0,0.553846
iteration_16_Recall	,1,0.948571
iteration_16_Recall	,2,0.830986
iteration_16_Recall	,3,0.826772
iteration_16_Recall	,4,0.951128
iteration_16_Recall	,5,0.772727
iteration_16_Recall	,6,0.863636
iteration_16_Recall	,7,0.925926
iteration_17_Precision	,0,0.948718
iteration_17_Precision	,1,0.828283
iteration_17_Precision	,2,0.952381
iteration_17_Precision	,3,0.882353
iteration_17_Precision	,4,0.916667
iteration_17_Precision	,5,0.912281
iteration_17_Precision	,6,1
iteration_17_Precision	,7,1
iteration_17_Recall	,0,0.569231
iteration_17_Recall	,1,0.937143
iteration_17_Recall	,2,0.84507
iteration_17_Recall	,3,0.826772
iteration_17_Recall	,4,0.951128
iteration_17_Recall	,5,0.787879
iteration_17_Recall	,6,0.818182
iteration_17_Recall	,7,0.962963
iteration_18_Precision	,0,0.95122
iteration_18_Precision	,1,0.837563
iteration_18_Precision	,2,0.952381
iteration_18_Precision	,3,0.889831
iteration_18_Precision	,4,0.923636
iteration_18_Precision	,5,0.929825
iteration_18_Precision	,6,1
iteration_18_Precision	,7,1
iteration_18_Recall	,0,0.6
iteration_18_Recall	,1,0.942857
iteration_18_Recall	,2,0.84507
iteration_18_Recall	,3,0.826772
iteration_18_Recall	,4,0.954887
iteration_18_Recall	,5,0.80303
iteration_18_Recall	,6,0.909091
iteration_18_Recall	,7,0.962963
iteration_19_Precision	,0,0.952381
iteration_19_Precision	,1,0.84131
iteration_19_Precision	,2,0.968254
iteration_19_Precision	,3,0.913043
iteration_19_Precision	,4,0.927007
iteration_19_Precision	,5,0.946429
iteration_19_Precision	,6,1
iteration_19_Precision	,7,1
iteration_19_Recall	,0,0.615385
iteration_19_Recall	,1,0.954286
iteration_19_Recall	,2,0.859155
iteration_19_Recall	,3,0.826772
iteration_19_Recall	,4,0.954887
iteration_19_Recall	,5,0.80303
iteration_19_Recall	,6,0.909091
iteration_19_Recall	,7,1
iteration_20_Precision	,0,0.954545
iteration_20_Precision	,1,0.850254
iteration_20_Precision	,2,0.984615
iteration_20_Precision	,3,0.91453
iteration_20_Precision	,4,0.933824
iteration_20_Precision	,5,0.963636
iteration_20_Precision	,6,1
iteration_20_Precision	,7,1
iteration_20_Recall	,0,0.646154
iteration_20_Recall	,1,0.957143
iteration_20_Recall	,2,0.901408
iteration_20_Recall	,3,0.84252
iteration_20_Recall	,4,0.954887
iteration_20_Recall	,5,0.80303
iteration_20_Recall	,6,0.909091
iteration_20_Recall	,7,1
iteration_21_Precision	,0,0.954545
iteration_21_Precision	,1,0.859335
iteration_21_Precision	,2,0.984615
iteration_21_Precision	,3,0.90678
iteration_21_Precision	,4,0.940959
iteration_21_Precision	,5,0.948276
iteration_21_Precision	,6,1
iteration_21_Precision	,7,1
iteration_21_Recall	,0,0.646154
iteration_21_Recall	,1,0.96
iteration_21_Recall	,2,0.901408
iteration_21_Recall	,3,0.84252
iteration_21_Recall	,4,0.958647
iteration_21_Recall	,5,0.833333
iteration_21_Recall	,6,0.909091
iteration_21_Recall	,7,1
iteration_22_Precision	,0,1
iteration_22_Precision	,1,0.880208
iteration_22_Precision	,2,0.984615
iteration_22_Precision	,3,0.909091
iteration_22_Precision	,4,0.944444
iteration_22_Precision	,5,0.966667
iteration_22_Precision	,6,1
iteration_22_Precision	,7,1
iteration_22_Recall	,0,0.692308
iteration_22_Recall	,1,0.965714
iteration_22_Recall	,2,0.901408
iteration_22_Recall	,3,0.866142
iteration_22_Recall	,4,0.958647
iteration_22_Recall	,5,0.878788
iteration_22_Recall	,6,1
iteration_22_Recall	,7,1
iteration_23_Precision	,0,1
iteration_23_Precision	,1,0.882507
iteration_23_Precision	,2,1
iteration_23_Precision	,3,0.909091
iteration_23_Precision	,4,0.948148
iteration_23_Precision	,5,0.966667
iteration_23_Precision	,6,1
iteration_23_Precision	,7,1
iteration_23_Recall	,0,0.707692
iteration_23_Recall	,1,0.965714
iteration_23_Recall	,2,0.915493
iteration_23_Recall	,3,0.866142
iteration_23_Recall	,4,0.962406
iteration_23_Recall	,5,0.878788
iteration_23_Recall	,6,1
iteration_23_Recall	,7,1
iteration_24_Precision	,0,1
iteration_24_Precision	,1,0.892105
iteration_24_Precision	,2,1
iteration_24_Precision	,3,0.918033
iteration_24_Precision	,4,0.951852
iteration_24_Precision	,5,0.966667
iteration_24_Precision	,6,1
iteration_24_Precision	,7,1
iteration_24_Recall	,0,0.723077
iteration_24_Recall	,1,0.968571
iteration_24_Recall	,2,0.929577
iteration_24_Recall	,3,0.88189
iteration_24_Recall	,4,0.966165
iteration_24_Recall	,5,0.878788
iteration_24_Recall	,6,1
iteration_24_Recall	,7,1
iteration_25_Precision	,0,1
iteration_25_Precision	,1,0.901333
iteration_25_Precision	,2,1
iteration_25_Precision	,3,0.926829
iteration_25_Precision	,4,0.95539
iteration_25_Precision	,5,0.967213
iteration_25_Precision	,6,1
iteration_25_Precision	,7,1
iteration_25_Recall	,0,0.769231
iteration_25_Recall	,1,0.965714
iteration_25_Recall	,2,0.943662
iteration_25_Recall	,3,0.897638
iteration_25_Recall	,4,0.966165
iteration_25_Recall	,5,0.893939
iteration_25_Recall	,6,1
iteration_25_Recall	,7,1
iteration_26_Precision	,0,1
iteration_26_Precision	,1,0.906166
iteration_26_Precision	,2,1
iteration_26_Precision	,3,0.942623
iteration_26_Precision	,4,0.95203
iteration_26_Precision	,5,0.983333
iteration_26_Precision	,6,1
iteration_26_Precision	,7,1
iteration_26_Recall	,0,0.784615
iteration_26_Recall	,1,0.965714
iteration_26_Recall	,2,0.957746
iteration_26_Recall	,3,0.905512
iteration_26_Recall	,4,0.969925
iteration_26_Recall	,5,0.893939
iteration_26_Recall	,6,1
iteration_26_Recall	,7,1
